--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
C                              3659         122710         161263         668491
C/C++ Header                   1304          33020          78829         116212
m4                              404           5947           5590          46664
Fortran 90                      781           3535           8066          19540
make                            622           4024          11923          16190
Bourne Shell                     69           1084           1904           7397
Perl                             53           1624           2027           7091
Java                             38           1507           5674           6360
TeX                               5            485             60           2947
Python                           11            698            846           2348
YAML                             17             96            141            800
C++                               9            170            416            791
lex                               7            191            249            549
diff                              3             53            325            368
INI                               1             66              0            294
Bourne Again Shell                7             49             46            216
zsh                               1             26             25            196
Markdown                          6             54              0            133
DTD                               3             23             21            113
D                                 4             17             59             67
C Shell                           2             15             35             61
Puppet                            1              5              2             59
Fortran 77                        2             21             35             52
Gencat NLS                        1              0              0             51
reStructuredText                  2             28             17             49
sed                               2              8             15             41
Tcl/Tk                            2             19             45             39
Dockerfile                        1              2              0              3
JSON                              1              0              0              3
--------------------------------------------------------------------------------
SUM:                           7018         175477         277613         897125
--------------------------------------------------------------------------------
